Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Denver Nuggets,14,7,7,0.5,49.4,109.1,39.9,90.2,44.3,9.6,27.8,34.4,19.7,25.2,78.2,13.1,34.6,47.7,24,9.8,5.7,4.6,4.7,21.3,21.9,1.9
Portland Trail Blazers,16,8,8,0.5,49.6,109.7,39.4,90.4,43.6,11.8,32.8,36,19,24.8,76.6,11.4,33.8,45.2,19.8,12.9,6.9,5.1,5.9,22.8,22.8,-1.4
San Antonio Spurs,7,3,4,0.429,48,103.3,39.4,85.1,46.3,6.7,19.9,33.8,17.7,23,77,10.7,34.4,45.1,21.1,8.4,4.6,4,3.6,19.4,20,-1.9
LA Clippers,6,2,4,0.333,48,114.7,39.8,89.2,44.7,11.5,31.7,36.3,23.5,28.8,81.5,10,30.2,40.2,25.3,15,8,3.3,7.5,25,25.8,-9.8
Brooklyn Nets,5,1,4,0.2,48,111.4,38.4,91.4,42,11,34,32.4,23.6,29.2,80.8,11.2,29.2,40.4,19.2,14.2,7.6,2.8,6,22.8,24.2,-11
Oklahoma City Thunder,5,1,4,0.2,48,105.2,37.8,86,44,10.4,31.4,33.1,19.2,25.4,75.6,10.2,33,43.2,22.6,15.2,6.6,5.4,5.8,24.2,23.4,-5.8
Orlando Magic,5,1,4,0.2,48,92,32.2,83,38.8,10.4,34.8,29.9,17.2,22.2,77.5,9.6,33.8,43.4,19,15.6,6.6,4,4.2,18.8,23,-14.4
Utah Jazz,5,1,4,0.2,48,97.8,34.6,86.4,40,9.4,35.8,26.3,19.2,25.6,75,11.8,35.4,47.2,23,15.2,9.2,5.4,7,21.8,21.4,-9.2
Detroit Pistons,4,0,4,0,48,98,37.5,96.8,38.8,11,33.3,33.1,12,16.5,72.7,10.8,31.5,42.3,23,10.5,7.3,4,8.8,24.3,20,-23.8
Indiana Pacers,4,0,4,0,48,91.8,33.5,83.5,40.1,10,29.8,33.6,14.8,20.5,72,8,32.3,40.3,20.8,12,8.3,3.5,3,20,19.5,-7.5
Golden State Warriors,21,16,5,0.762,48.2,110.4,41.2,86,48,11.2,31.4,35.7,16.8,20.4,82.2,9.1,35.9,45,26,12.9,7.9,5.8,3.6,19.7,19.4,10
Houston Rockets,17,11,6,0.647,48,104.9,37.2,85.3,43.6,13.4,39.8,33.7,17.2,22.2,77.2,8.8,34.2,43,18.8,12.1,8.1,5.5,4.4,19.1,19.5,1.8
Boston Celtics,19,11,8,0.579,48.5,101.4,36.4,83.3,43.7,10.5,30.6,34.3,18.1,23.5,76.7,8.8,32.8,41.7,21.2,11.6,6.8,4.1,5.6,20.4,21.4,0.7
